Date,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI
2014-10-01,108.40665435791016,383.614990234375,1.262833595275879,1214.5999755859375,38.88016128540039,16804.7109375
2014-10-02,107.97188568115234,375.0719909667969,1.2624191045761108,1214.199951171875,38.7615852355957,16801.05078125
2014-10-03,109.87621307373048,359.5119934082031,1.2670577764511108,1192.199951171875,39.04109954833984,17009.689453125
2014-10-04,,328.8659973144531,,,,
2014-10-05,,320.510009765625,,,,
2014-10-06,109.78924560546876,330.0790100097656,1.2513607740402222,1206.699951171875,39.04109954833984,16991.91015625
2014-10-07,107.23277282714844,336.18701171875,1.264606237411499,1211.699951171875,38.566741943359375,16719.390625
2014-10-08,108.6762466430664,352.94000244140625,1.266800880432129,1205.300048828125,39.62556457519531,16994.220703125
2014-10-09,106.74583435058594,365.0260009765625,1.2743074893951416,1224.5999755859375,38.83780288696289,16659.25
2014-10-10,105.65018463134766,361.56201171875,1.2689067125320437,1221.0,37.29616165161133,16544.099609375
2014-10-11,,362.2990112304688,,,,
2014-10-12,,378.5490112304688,,,,
2014-10-13,104.73717498779295,390.41400146484375,1.263982892036438,1229.300048828125,36.97427749633789,16321.0703125
2014-10-14,106.337158203125,400.8699951171875,1.272394061088562,1233.5999755859375,37.04203796386719,16315.1904296875
2014-10-15,104.5111083984375,394.7730102539063,1.2639029026031494,1244.0999755859375,36.61003875732422,16141.740234375
2014-10-16,104.59803771972656,382.5559997558594,1.2821663618087769,1240.5,36.20344543457031,16117.240234375
2014-10-17,107.16320037841795,383.7579956054688,1.280442476272583,1238.300048828125,36.95733642578125,16380.41015625
2014-10-18,,391.4419860839844,,,,
2014-10-19,,389.5459899902344,,,,
2014-10-20,108.09363555908205,382.8450012207031,1.274957299232483,1244.0,37.338504791259766,16399.669921875
2014-10-21,110.53707122802734,386.4750061035156,1.2795250415802002,1251.0,38.01615905761719,16614.810546875
2014-10-22,105.60672760009766,383.1579895019531,1.2714719772338867,1244.800048828125,37.59262847900391,16461.3203125
2014-10-23,106.11105346679688,358.4169921875,1.2641425132751465,1228.5,38.1347541809082,16677.900390625
2014-10-24,106.29367065429688,358.3450012207031,1.2654062509536743,1231.199951171875,39.074981689453125,16805.41015625
2014-10-25,,347.27099609375,,,,
2014-10-26,,354.7040100097656,,,,
2014-10-27,106.18932342529295,352.989013671875,1.2676681280136108,1229.0999755859375,38.88864135742188,16817.939453125
2014-10-28,107.48494720458984,357.6180114746094,1.270147681236267,1229.199951171875,39.37993240356445,17005.75
2014-10-29,107.02410125732422,335.59100341796875,1.273836612701416,1224.300048828125,39.49005126953125,16974.310546875
2014-10-30,107.66754913330078,345.30499267578125,1.2632802724838257,1198.0999755859375,39.00722885131836,17195.419921875
2014-10-31,108.6153564453125,338.3210144042969,1.2613362073898315,1171.0999755859375,39.76958084106445,17390.51953125
2014-11-01,,325.7489929199219,,,,
2014-11-02,,325.8919982910156,,,,
2014-11-03,109.58924865722656,327.5539855957031,1.250312566757202,1169.4000244140625,40.18463516235352,17366.240234375
2014-11-04,109.42404174804688,330.49200439453125,1.2495938539505005,1167.4000244140625,40.29475402832031,17383.83984375
2014-11-05,108.6456298828125,339.4859924316406,1.255256414413452,1145.4000244140625,40.5404052734375,17484.529296875
2014-11-06,108.96050262451172,349.2900085449219,1.2480031251907349,1142.300048828125,41.25193405151367,17554.470703125
2014-11-07,108.8467788696289,342.4150085449219,1.238006830215454,1169.5999755859375,41.23500442504883,17573.9296875
2014-11-08,,345.4880065917969,,,,
2014-11-09,,363.2640075683594,,,,
2014-11-10,109.01295471191406,366.9240112304688,1.246137022972107,1159.5999755859375,41.41287612915039,17613.740234375
